"Story","Title","Result","Date","Stability","Duration (s)"
"Staff page test","Staff page test","SUCCESS","2021-02-16T00:20:49.408724Z[Europe/London]","0.0","15.66"
"Client journey test","Client journey test","SUCCESS","2021-02-16T00:21:06.65295Z[Europe/London]","0.0","165.38"
"Gold test","Gold login test","SUCCESS","2021-02-16T00:23:52.342973Z[Europe/London]","0.0","9.33"
"Gold test","Home panel","SUCCESS","2021-02-16T00:24:01.697598Z[Europe/London]","0.0","6.8"
"Training pagetest","Training page test","SUCCESS","2021-02-16T00:24:08.649875Z[Europe/London]","0.0","13.57"
"Dialler page test","Dialler page test","SUCCESS","2021-02-16T00:24:22.35929Z[Europe/London]","0.0","13.89"
"Data page test","Data page test","SUCCESS","2021-02-16T00:24:36.387846Z[Europe/London]","0.0","13.62"
