"Story","Title","Result","Date","Stability","Duration (s)"
"Gold test","Gold login test","SUCCESS","2021-02-16T00:23:52.342973Z[Europe/London]","0.0","9.33"
"Gold test","Home panel","SUCCESS","2021-02-16T00:24:01.697598Z[Europe/London]","0.0","6.8"
